X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen,Latitude,Longitude
488240.902968981,6660636.66627704,525319,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,10,,Antwerpen,2050,,FS_0254055,4,1,51.22188391557845,4.385942654693519
488237.329681555,6660521.82943373,525320,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,14,,Antwerpen,2050,,FS_0254056,4,1,51.221237815602976,4.385910555306425
488282.687352296,6660486.13750303,525321,FIETSSTALLING,HAAKBEUGEL_GROEP,PLEIN,Frederik Van Eedenplein,16,"to 16, plein Naast ingang metro",Antwerpen,2050,,FS_0254057,40,4,51.221037002283616,4.386318010195212
488272.343156436,6660889.03692284,525322,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Frederik Van Eedenplein,4,to 4,Antwerpen,2050,,FS_0254058,4,1,51.223303782271046,4.386225086702782
488235.190276296,6660450.64377009,525323,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,18,,Antwerpen,2050,,FS_0254059,4,1,51.22083730321451,4.385891336701994
489026.830960471,6662960.92645422,525324,FIETSSTALLING,BETH_GALI,VOETGANGERSZONE,Wandeldijk,40,naast zwembad,Antwerpen,2050,,FS_0254060,60,3,51.23495881874667,4.393002765963247
488266.015903373,6657802.11126703,525325,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Nicole Van Goethempad,17,ingang thv supermarkt Colruyt,Antwerpen,2000,,FS_0254061,6,1,51.2059333697442,4.386168248021453
488261.632632639,6657777.39723402,525326,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Nicole Van Goethempad,17,fietsstaling opgesteld rechts ingang thv supermarkt Colruyt,Antwerpen,2000,,FS_0254062,2,1,51.20579427518044,4.386128872430505
488619.345429411,6662984.6725244,525327,FIETSSTALLING,NIETJE_GROEP,PARK,Kastanjedreef,22,to 22 ingang park,Antwerpen,2050,,FS_0254063,3,1,51.23509238082212,4.389342261157159
488969.632821113,6662754.60883729,525328,FIETSSTALLING,NIETJE_GROEP,PARK,Thonetlaan,,ingang skatepark ,Antwerpen,2050,,FS_0254064,4,1,51.23379834897537,4.3924889463351615
487799.793662027,6657657.28877321,525329,FIETSSTALLING,NIETJE_GROEP,PLEIN,Michel De Braeystraat,55,,Antwerpen,2000,,FS_0254065,4,1,51.2051182794098,4.381980102369477
487793.024198566,6657670.81762695,525330,FIETSSTALLING,NIETJE_GROEP,PLEIN,Michel De Braeystraat,55,op kruispunt met Jos Smolderenstraat,Antwerpen,2000,,FS_0254066,4,1,51.205194423150246,4.381919291244554
488524.113836489,6658709.16078082,525331,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Cockerillkaai,29,to 29,Antwerpen,2000,,FS_0254067,8,1,51.21103810007432,4.38848678120263
488783.950044985,6659129.12255568,525332,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cockerillkaai,1,to 1,Antwerpen,2000,,FS_0254068,6,1,51.21340138648234,4.3908209295772265
489363.430901219,6658531.88203198,525333,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Karel Rogierstraat,14,,Antwerpen,2000,,FS_0254069,4,1,51.21004044797257,4.396026494677323
488016.040917043,6662080.54167382,525334,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,60,,Antwerpen,2050,,FS_0254070,4,1,51.2300067354757,4.383922684512775
488204.900943771,6662077.34757448,525335,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,66,,Antwerpen,2050,,FS_0254071,5,1,51.229988767990896,4.385619242998465
487348.902868508,6661031.20124156,525336,FIETSSTALLING,RIK_WAAIER,VOETPAD,Halewijnlaan,86,,Antwerpen,2050,,FS_0254072,1,1,51.22410359602666,4.377929681456608
488080.076363836,6662079.93377913,525337,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,66,,Antwerpen,2050,,FS_0254073,6,1,51.230003315939946,4.384497924718571
489981.650576532,6659169.35563928,525338,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Begijnenstraat,24,,Antwerpen,2000,,FS_0254075,1,1,51.21362778714925,4.4015800565100935
487714.738012835,6661028.47960905,525339,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,1,,Antwerpen,2050,,FS_0254084,3,1,51.22408828430436,4.381216034472778
487748.38735536,6661045.30053847,525340,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,2-4,,Antwerpen,2050,,FS_0254085,6,1,51.22418291764562,4.381518311659686
487845.394834121,6661152.45114141,525341,FIETSSTALLING,NIETJE_GROEP,PLEIN,Louis Paul Boonstraat,22,,Antwerpen,2050,,FS_0254086,5,1,51.22478573467757,4.382389744668135
487799.631278145,6661240.60116158,525342,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,12,To 12,Antwerpen,2050,,FS_0254087,6,1,51.22528165068566,4.381978643650246
487912.348322461,6661185.45523865,525343,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Louis Paul Boonstraat,12,,Antwerpen,2050,,FS_0254088,20,1,51.22497141036187,4.3829911980871445
488011.595450021,6661208.82464336,525344,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Louis Paul Boonstraat,41,"ah pad, Elegastplein",Antwerpen,2050,,FS_0254089,16,1,51.22510288237974,4.383882750203065
488003.319362882,6661232.29445605,525345,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Louis Paul Boonstraat,41,"ah pad, Elegastplein",Antwerpen,2050,,FS_0254090,2,1,51.22523491889663,4.383808404847368
487618.960306938,6661257.07565884,525346,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Elsschotstraat,5,In beton aan pad  ingang bibliotheek,Antwerpen,2050,,FS_0254083,4,1,51.22537433262334,4.380355648701926
487692.961844393,6661184.98769039,525347,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Louis Paul Boonstraat,5,,Antwerpen,2050,,FS_0254076,12,1,51.22496878001662,4.381020415823368
487717.299614266,6661149.76668839,525348,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,3,,Antwerpen,2050,,FS_0254077,6,1,51.22477063234845,4.381239045729951
487810.923960173,6661170.63533925,525349,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Louis Paul Boonstraat,20,,Antwerpen,2050,,FS_0254078,9,1,51.22488803611036,4.38208008753889
487811.444875857,6661260.31931517,525350,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Ernest Claesstraat,12-14,,Antwerpen,2050,,FS_0254079,6,1,51.22539258070623,4.382084767004097
487951.077250119,6661017.97414431,525351,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Carel Van Manderstraat,2,,Antwerpen,2050,,FS_0254080,4,1,51.22402918121527,4.383339105963672
487951.549467152,6661134.76553288,525352,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Carel Van Manderstraat,4,,Antwerpen,2050,,FS_0254081,4,1,51.22468623801159,4.383343347961453
488144.566252639,6661231.3948521,525353,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Louis Paul Boonstraat,43,,Antwerpen,2050,,FS_0254082,20,1,51.22522985791,4.385077247246399
490032.643055601,6659329.08267722,525354,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Bredestraat,28,,Antwerpen,2000,,FS_0254091,2,1,51.214526596358446,4.402038129743323
490048.782524846,6659442.63461401,525355,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Bredestraat,2,,Antwerpen,2000,,FS_0254092,3,1,51.215165560327804,4.402183113062327
492608.275680909,6654490.28275151,525356,FIETSSTALLING,BUISBEUGEL_GROEP,VOETPAD,Marie-Josélaan,31,Rechts van pand nummer31,Berchem,2600,,FS_0254093,2,1,51.187290120956035,4.425175431279233
492609.066302922,6654476.08826566,525357,FIETSSTALLING,BUISBEUGEL_GROEP,VOETPAD,Marie-Josélaan,31,Linkerkant pand,Berchem,2600,,FS_0254094,2,1,51.18721019981817,4.425182533557615
492613.606323012,6654462.44071414,525358,FIETSSTALLING,BUISBEUGEL_ENKEL,VOETPAD,Marie-Josélaan,35,Rechterkant van het pand,Berchem,2600,,FS_0254095,1,1,51.18713335802812,4.4252233172519855
492475.241757909,6655055.33585916,525359,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Grotesteenweg,227,Op de hoek met de Sint Elisabethzaal,Berchem,2600,,FS_0254096,1,1,51.19047150349758,4.42398036721586
490082.856780724,6659430.44150529,525360,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Vleminckveld,6,od hoek,Antwerpen,2000,,FS_0254097,9,1,51.2150969493546,4.402489207310828
492610.488922853,6654501.38795144,525361,FIETSSTALLING,BUISBEUGEL_ENKEL,VOETPAD,Marie-Josélaan,24,Tegenover nr 24,Berchem,2600,,FS_0254098,1,1,51.187352647971984,4.4251953131698905
492617.001902826,6654450.50605385,525362,FIETSSTALLING,BUISBEUGEL_GROEP,VOETPAD,Marie-Josélaan,35,Midden van het pand,Berchem,2600,,FS_0254099,2,1,51.18706616047315,4.42525382026444
490393.495587281,6662650.60067702,525363,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kattendijkdok-Westkaai,71,,Antwerpen,2000,,FS_0254100,8,1,51.233213325664174,4.405279723188536
490243.312300981,6662479.65952337,525364,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Braziliëstraat,22,,Antwerpen,2000,,FS_0254101,4,1,51.23225180264397,4.40393060377351
490885.039856603,6662577.16286082,525365,FIETSSTALLING,NIETJE_GROEP,PLEIN,Schengenplein,50,,Antwerpen,2000,,FS_0254102,8,2,51.232800249418354,4.409695340488069
491084.967555995,6662681.55849065,525366,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cadixstraat,41,,Antwerpen,2000,,FS_0254103,4,1,51.23338745741939,4.411491321568896
491162.093651331,6662681.05283619,525367,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cadixstraat,47,,Antwerpen,2000,,FS_0254104,5,1,51.23338461321548,4.412184157071343
491271.150675482,6661505.02537854,525368,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Zwedenstraat,5,"to 5

",Antwerpen,2000,,FS_0254105,4,1,51.22676922126421,4.413163832987697
491349.73691769,6661454.18674941,525369,FIETSSTALLING,NIETJE_GROEP,PLEIN,Tunnelplaats,,plein thv Noordse kerk,Antwerpen,2000,,FS_0254106,4,1,51.226483222263745,4.413869785212668
487778.927910254,6660318.90156426,525370,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Waterhoenlaan,12,,Antwerpen,2050,,FS_0254107,8,1,51.22009607194437,4.3817926621321535
489810.049843575,6660957.60913699,525371,FIETSSTALLING,BUISBEUGEL_GROEP,PLEIN,Veemarkt,19,to 19,Antwerpen,2000,,FS_0254108,3,1,51.223689569979896,4.400038540898279
488299.385142182,6660276.49150347,525372,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Beatrijslaan,4,,Antwerpen,2050,,FS_0254109,8,1,51.21985745442925,4.386468008993869
488259.778700422,6660165.84166773,525373,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Beatrijslaan,18-20,,Antwerpen,2050,,FS_0254110,8,1,51.219234884328515,4.386112218274041
487731.143774792,6660119.17900473,525374,FIETSSTALLING,RIK_DUBBEL,VOETPAD,Hanegraefstraat,2,to 2,Antwerpen,2050,,FS_0254111,1,1,51.21897233483721,4.381363409939914
489854.186906111,6660875.49056786,525375,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Korte Doornikstraat,6,,Antwerpen,2000,,FS_0254112,2,1,51.223227570010096,4.400435030877003
487527.45051554,6661264.12060144,525376,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Willem Elsschotstraat,5,Ingang politiekantoor ,Antwerpen,2050,,FS_0254113,4,1,51.225413965880854,4.3795336022593325
489581.171306072,6660693.2797433,525377,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Willem Ogierplaats,1,,Antwerpen,2000,,FS_0254114,7,1,51.22220243335419,4.397982490013821
489931.715331552,6660747.64426289,525378,FIETSSTALLING,RIK_ENKEL,VOETPAD,Hofstraat,13,to 13,Antwerpen,2000,,FS_0254115,1,1,51.22250829606781,4.4011314805722765
487727.627206062,6660079.64655243,525379,FIETSSTALLING,NIETJE_GROEP,GROENZONE,Hanegraefstraat,4,to 4 ad kerk,Antwerpen,2050,,FS_0254116,6,1,51.218749902613105,4.381331820065536
487772.754730135,6660070.76878264,525380,FIETSSTALLING,NIETJE_GROEP,GROENZONE,Gaston Burssenslaan,14,to 21 rechts naast ingangn kerk,Antwerpen,2050,,FS_0254117,2,1,51.21869995104657,4.3817372075116285
490030.854584953,6660902.7298282,525381,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Zwartzustersstraat,36,to 36,Antwerpen,2000,,FS_0254118,3,1,51.22338081890124,4.402022063638139
490000.245566131,6660938.32198149,525382,FIETSSTALLING,RIK_GROEP,PLEIN,Prior Peltiersplaats,23,naast 23,Antwerpen,2000,,FS_0254119,2,1,51.223581060648364,4.401747098143742
489690.499539689,6660710.30174196,525383,FIETSSTALLING,RIK_DUBBEL,WOONERF,Kuipersstraat,13,,Antwerpen,2000,,FS_0254120,1,1,51.222298201819044,4.398964602246261
491188.6944614,6660646.69567649,525384,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Pieter Van Hobokenstraat,9,,Antwerpen,2000,,FS_0254121,2,1,51.22194034298539,4.412423116213893
491068.455548459,6661185.48341613,525385,FIETSSTALLING,BUISBEUGEL_GROEP,VOETPAD,Paardenmarkt,66,,Antwerpen,2000,,FS_0254122,3,1,51.22497156888347,4.411342991681486
491164.011045131,6661088.21817456,525386,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kleine Kauwenberg,12,to 12 onder de luifel,Antwerpen,2000,,FS_0254123,13,1,51.22442436830345,4.412201381312906
491129.312620028,6660985.59440243,525387,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Kleine Kauwenberg,30,30,Antwerpen,2000,,FS_0254124,18,1,51.22384701433048,4.411889680056857
491197.494865797,6660488.13985864,525388,FIETSSTALLING,NIETJE_GROEP,PLEIN,Frans Halsplein,6,,Antwerpen,2000,,FS_0254125,12,1,51.2210482681495,4.4125021715916555
486260.603077714,6660222.60742997,525389,FIETSSTALLING,NIETJE_GROEP,PLEIN,Blancefloerlaan,183,thv ingang sporthall,Antwerpen,2050,,FS_0254126,7,1,51.21955427732584,4.368153318098865
486231.176921304,6660344.01741091,525390,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Blancefloerlaan,,thv tramhalte Sporthal,Antwerpen,2050,,FS_0254127,5,1,51.2202373840782,4.367888978438304
491562.443114762,6659920.63013148,525391,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,De Keyserlei,2,,Antwerpen,2018,,FS_0254128,8,1,51.21785517427503,4.415780557491235
491550.207685191,6660208.1896731,525392,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Frankrijklei,2,,Antwerpen,2000,,FS_0254129,9,1,51.219473155915985,4.415670644757322
485830.585562319,6657923.06494534,525393,FIETSSTALLING,NMBS_LOS_DUBBELZIJDIG,VOETPAD,Beatrijslaan,,ad bushalte,Antwerpen,2050,,FS_0254130,5,1,51.2066141104949,4.36429040503368
490948.353686918,6660055.3504319,525394,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Eikenstraat,8,,Antwerpen,2000,,FS_0254131,9,1,51.21861319818694,4.410264098302751
487348.729229329,6659841.71183641,525395,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Galgenweellaan,29,to 29,Antwerpen,2050,,FS_0254132,16,1,51.21741112289175,4.377928121629323
491859.502604348,6662359.94274608,525396,FIETSSTALLING,NIETJE_GROEP,PARK,Kempenstraat,,thv skatepark antwerpen noord,Antwerpen,2030,,FS_0254133,6,1,51.23157839849384,4.418449088289114
492517.661765802,6662680.58606553,525397,FIETSSTALLING,NIETJE_GROEP,WOONERF,Chocoladegang,13,,Antwerpen,2060,,FS_0254134,2,1,51.23338198772489,4.424361432630288
486214.345135158,6660026.57989857,525398,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Hugues C. Pernathlaan,,Hoek Cornellielaan,Antwerpen,2050,,FS_0254135,5,1,51.2184513175279,4.367737775930765
486075.192081332,6659867.16320893,525399,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frédéric Bruynseelslaan,25,,Antwerpen,2050,,FS_0254802,8,1,51.21755433118192,4.366487742779927
486250.786088716,6659956.00602393,525400,FIETSSTALLING,NIETJE_GROEP,SPEELTERREIN,Hugues C. Pernathlaan,36,to 36,Antwerpen,2050,,FS_0254137,4,1,51.21805422323125,4.368065130586255
486210.961230109,6660156.01941228,525401,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Hugues C. Pernathlaan,10,,Antwerpen,2050,,FS_0254138,3,1,51.219179619107884,4.36770737779451
486224.986219455,6659974.84615941,525402,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Hugues C. Pernathlaan,34,Naast 34,Antwerpen,2050,,FS_0254139,3,1,51.2181602303626,4.367833366417401
486238.792747663,6660069.00264736,525403,FIETSSTALLING,NIETJE_GROEP,SPEELTERREIN,Hugues C. Pernathlaan,22,to 22,Antwerpen,2050,,FS_0254140,4,1,51.218690013721826,4.367957392570499
485794.993063655,6660184.37349583,525404,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Liane Bruylantlaan,2,,Antwerpen,2050,,FS_0254141,2,1,51.219339154045315,4.363970672178181
485593.67141921,6660307.90973416,525405,FIETSSTALLING,P_BEUGEL_GROEP,MIDDENBERM,Blancefloerlaan,,Aan keerpunt tram,Antwerpen,2050,,FS_0254142,60,10,51.22003422722874,4.362162169075891
485762.844690885,6660271.24162319,525406,FIETSSTALLING,NMBS_LOS_ENKELZIJDIG,VOETPAD,Blancefloerlaan,359,,Antwerpen,2050,,FS_0254143,6,1,51.21982791622506,4.3636818784319935
485784.405726759,6660273.34632782,525407,FIETSSTALLING,NMBS_LOS_ENKELZIJDIG,VOETPAD,Blancefloerlaan,357,,Antwerpen,2050,,FS_0254144,24,6,51.21983975824884,4.3638755645126635
486784.183062668,6659838.13245058,525408,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Brilduikerstraat,96,naast 96,Antwerpen,2050,,FS_0254145,3,1,51.21739098257776,4.372856717128297
486552.607700777,6659843.6028158,525409,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Aalscholverlaan,70,to 70,Antwerpen,2050,,FS_0254146,7,1,51.217421762959,4.370776440258176
486765.982056249,6659861.48949059,525410,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Aalscholverlaan,,to brilduikstraat,Antwerpen,2050,,FS_0254147,3,1,51.217522406674924,4.372693214705772
494501.091749429,6667248.19805,525411,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kwadeveldenplein,55,to 55,Merksem,2170,,FS_0254148,4,1,51.259066709860676,4.442178887323018
477700.859713477,6675601.30094013,525412,FIETSSTALLING,BUISBEUGEL_GROEP,GROENZONE,Scheldelaan,,Onderaan trap parking,Berendrecht_zandvliet_lillo,2040,,FS_0254149,2,1,51.306001012437484,4.291259835176517
481090.11400208,6682389.71677318,525413,FIETSSTALLING,BUISBEUGEL_GROEP,VOETGANGERSZONE,Antwerpsebaan,140,"Voor ingang districtshuis, links",,2040,,FS_0254156,3,1,51.344108352799665,4.321706024468715
480611.670460351,6684706.01824768,525414,FIETSSTALLING,NIETJE_GROEP,SPEELTERREIN,Armenstraatje,,parking ad speeltuin,Berendrecht_zandvliet_lillo,2040,,FS_0254157,5,1,51.35710386014164,4.317408093007479
