X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
491199.416635054,6669389.29453177,529364,FIETSSTALLING,NIETJE_GROEP,PAD,Herman Vosstraat_EK,5,"Achter 5, op pad rechts, richting hn 9",Antwerpen,2030,,FS_0254964,2,1
491279.856294892,6669190.73229428,529365,FIETSSTALLING,NIETJE_GROEP,PLEIN,Pater Strackestraat,6-8,to 6-8 vlak voor het bijgebouw dat dienst doet als garage,Antwerpen,2030,,FS_0254965,4,1
487623.589689652,6653290.90265608,529366,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Smedenstraat,71,,Wilrijk,2610,,FS_0254966,3,1
489015.63804658,6653285.48068235,529367,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Pierebeekstraat,thv 40,,Wilrijk,2610,,FS_0254967,3,1
484745.060449393,6653444.67944974,529368,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Dokter Van Raesstraat,4,op hoek met Ijskelderstraat,Hoboken,2660,,FS_0254968,2,1
497905.693612702,6656846.40767394,529369,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Manebruggestraat,20,,Deurne,2100,,FS_0254969,4,1
497887.249854216,6656843.66204706,529370,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Manebruggestraat,21,,Deurne,2100,,FS_0254970,3,1
497866.298841454,6656663.8075452,529371,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Manebruggestraat,1,thv 1,Deurne,2100,,FS_0254971,3,1
490762.812666264,6659040.00530981,529372,FIETSSTALLING,NIETJE_GROEP,WOONERF,Tabakvest,112,,Antwerpen,2000,,FS_0254972,4,1
490705.394569366,6659022.13448672,529373,FIETSSTALLING,NIETJE_GROEP,WOONERF,Tabakvest,83,,Antwerpen,2000,,FS_0254973,3,1
490646.043923147,6659015.81028063,529374,FIETSSTALLING,NIETJE_GROEP,WOONERF,Tabakvest,120,op de hoek,Antwerpen,2000,,FS_0254974,3,1
495100.081967236,6658291.6017341,529375,FIETSSTALLING,NIETJE_GROEP,RIJWEG,Luitenant Lippenslaan,51,Vrijgeweide hoek,Borgerhout,2140,,FS_0254975,3,1
488281.194345225,6653266.86865628,529376,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cyriel Buyssestraat,89,,Antwerpen,2020,,FS_0254976,2,1
488270.07746399,6653279.13564964,529377,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cyriel Buyssestraat,112,,Antwerpen,2020,,FS_0254977,2,1
