X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
491682.490547819,6670647.85335138,54463,GLASCONT_00961,duo glasbol,D1072,GROOT HAGELKRUIS,6,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
492761.352088597,6657845.60867909,54464,GLASCONT_00963,duo glasbol,D1286,ARENDSTRAAT,1,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
493404.846002319,6658150.74350677,54465,GLASCONT_00967,duo glasbol,D1190,DOOR VERSTRAETEPLAATS,1,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
490792.195019787,6655960.6689268,54466,GLASCONT_00972,mono glasbol groen,M1617,MARKGRAVELEI,,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
490423.970583167,6661543.26465518,54467,GLASCONT_00975,ondergrondse wit,O1119-A645,OUDELEEUWENRUI,1,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
490423.517180075,6661528.9521006,54468,GLASCONT_00976,ondergrondse groen,O1118-A646,OUDELEEUWENRUI,4,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
488799.381616647,6662964.75548084,54469,GLASCONT_01002,duo glasbol,D1249,JACHTHAVENWEG,,2050,MIDDEN,Linkeroever,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,x,,,,,
495270.978576273,6657827.11437143,54470,GLASCONT_01005,mono glasbol wit,M1579,DE SCHANS,69,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
495405.101605651,6656782.84512172,54471,GLASCONT_01011,mono glasbol groen,M1588,KAREL DE PRETERLEI,222,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
496208.315113396,6655698.7912649,54472,GLASCONT_01016,mono glasbol wit,M1506,RUIMTEVAARTLAAN_DE,29,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
496213.9052748,6655695.41877794,54473,GLASCONT_01017,mono glasbol groen,M1666,RUIMTEVAARTLAAN_DE,29,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
496996.479835045,6656111.17743198,54474,GLASCONT_01019,duo glasbol,D1201,UNITASLAAN,97,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
497308.300355497,6655858.36150398,54475,GLASCONT_01021,duo glasbol,D1206,DRAKENHOFLAAN,169,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
497642.228650017,6656644.86851881,54476,GLASCONT_01023,mono glasbol wit,M1565,EKSTERLAAR,163,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
