X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO,Latitude,Longitude
487829.704283053,6653336.75075911,54281,GLASCONT_00600,mono glasbol groen,M1664,LETTERKUNDESTRAAT,29,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,,51.180794781390205,4.382248794049729
487835.797015435,6653337.97067782,54282,GLASCONT_00601,mono glasbol wit,M1578,LETTERKUNDESTRAAT,29,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,,51.180801651025405,4.382303525995937
488215.550912618,6653171.31652224,54283,GLASCONT_00602,duo glasbol,D1253,KAREL MESTDAGHPLEIN,,2610,ZUID,Wilrijk,2024/05/07 12:08:37+00,,,Wekelijks,x,,x,,x,,,,,x,,,,,,51.17986317470575,4.385714913296371
488877.387178398,6652299.55667366,54284,GLASCONT_00603,duo glasbol,D1186,OVERWINNINGSTRAAT,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.17495373898911,4.391660289627719
489010.972849067,6651703.58492091,54285,GLASCONT_00604,mono glasbol groen,M1606,MASTPLEIN,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.17159714106881,4.392860310124732
489015.293257326,6651695.93761007,54286,GLASCONT_00605,mono glasbol wit,M1513,MASTPLEIN,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.17155406873559,4.3928991210124595
488380.594498363,6651227.74058721,54287,GLASCONT_00608,duo glasbol,D1118,VALKENVELD,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.16891694247793,4.387197525052577
488045.974386417,6651314.11353885,54288,GLASCONT_00609,duo glasbol,D1242,VALKSTRAAT,86,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,,51.169403450675986,4.384191581443228
487886.038975078,6651059.60793913,54289,GLASCONT_00610,duo glasbol,D1170,BERKENVELDPLEIN,29,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,,51.16796989619295,4.38275485719845
489790.282923121,6650308.88011394,54290,GLASCONT_00611,duo glasbol,D1019,KRIJGSLAAN,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.16374100965037,4.399860971630642
