X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
492662.840710083,6661654.0871004,100796,A6_1102,Prevenda,Zaal Tierenteyn,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",49,49,512
493405.623136289,6661560.36331378,100797,0000000077,Oude Badhuis,Wasserij,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",200,400,513
493405.623136289,6661560.36331378,100798,0000000077,Oude Badhuis,Badzaal,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",,80,514
493405.623136289,6661560.36331378,100799,0000000077,Oude Badhuis,Den Bleek,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",30,30,515
493405.623136289,6661560.36331378,100800,0000000077,Oude Badhuis,Douchezaal,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",,80,516
489241.597412164,6651777.84938935,100801,0000000414,VIZIT,Grote Zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",120,255,517
489241.597412164,6651777.84938935,100802,0000000414,VIZIT,Kaffee,"Feest, Hobby, Repetitie, Vergader",49,49,518
489241.597412164,6651777.84938935,100803,0000000414,VIZIT,Kleine Zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",20,49,519
491252.390946012,6659281.85344143,100804,0000024701,"Elckerlyc, OLVC",Theaterzaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",800,,520
491252.390946012,6659281.85344143,100805,0000024701,"Elckerlyc, OLVC",Feestzaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader",400,800,521
491252.390946012,6659281.85344143,100806,0000024701,"Elckerlyc, OLVC",Foyer,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader",100,150,522
491739.74024079,6656622.09978125,100807,0000008249,Ten Gaarde,Ten Gaarde - Polyvalente zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",70,100,523
491739.74024079,6656622.09978125,100808,0000008249,Ten Gaarde,Ten Gaarde - Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,150,524
489349.135264952,6659358.05180789,100809,0000000253,coStA,Kleine Zaal,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",80,100,525
489349.135264952,6659358.05180789,100810,0000000253,coStA,Grote Zaal,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",130,180,526
491126.223977885,6662035.25217408,100811,0000025746,Port of Creative Antwerp by FMT,Auditorium,"Feest, Hobby, Repetitie, Vergader, Vergader1",,,527
491126.223977885,6662035.25217408,100812,0000025746,Port of Creative Antwerp by FMT,Bibliotheek,"Feest, Hobby, Repetitie, Sport, Vergader",200,200,528
491126.223977885,6662035.25217408,100813,0000025746,Port of Creative Antwerp by FMT,Foyer,"Feest, Hobby, Repetitie, Vergader, Vergader1",,200,529
491126.223977885,6662035.25217408,100814,0000025746,Port of Creative Antwerp by FMT,Refter,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,200,530
491126.223977885,6662035.25217408,100815,0000025746,Port of Creative Antwerp by FMT,Vijfde verdieping,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,180,531
491126.223977885,6662035.25217408,100816,0000025746,Port of Creative Antwerp by FMT,Atelier of kantoor,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",20,35,532
491126.223977885,6662035.25217408,100817,0000025746,Port of Creative Antwerp by FMT,Het Eiland,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,100,533
492351.029744567,6656544.44338528,100818,0000007721,'t Oud Kapelleke,Grote zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",125,200,534
493252.602463767,6660004.79387284,100819,0000000709,Cortina,Sporthal,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader",200,200,535
493252.602463767,6660004.79387284,100820,0000000709,Cortina,Cafetaria,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",99,99,536
495512.615745265,6662502.89726095,100821,0000023248,Kronenburg,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,220,537
495228.123127935,6665051.98318472,100822,0000011104,De Volkslust,Kleine zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",90,150,538
495228.123127935,6665051.98318472,100823,0000011104,De Volkslust,Grote zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",300,400,539
488394.820741527,6658395.50361988,100824,0000024234,"Fotomuseum, Cinema Zuid",Grote zaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",147,,540
488394.820741527,6658395.50361988,100825,0000024234,"Fotomuseum, Cinema Zuid",Kleine zaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",87,,541
497449.091125616,6659900.58187379,100826,0000009215,Kasteel Rivierenhof,Luchterzaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",55,90,542
497449.091125616,6659900.58187379,100827,0000009215,Kasteel Rivierenhof,Eikenzaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",25,40,543
497449.091125616,6659900.58187379,100828,0000009215,Kasteel Rivierenhof,Kaartzaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",25,40,544
490919.141326649,6663465.31656763,100829,0000011470,Kerkschip Antwerpen,Feestzaal,"Feest, Repetitie, Vergader, Vergader1",110,180,545
490919.141326649,6663465.31656763,100830,0000011470,Kerkschip Antwerpen,Taverne,"Feest, Repetitie, Vergader, Vergader1",30,40,546
490919.141326649,6663465.31656763,100831,0000011470,Kerkschip Antwerpen,Taverne + Feestzaal,"Feest, Repetitie, Vergader, Vergader1",110,180,547
493546.933607849,6660297.20850387,100832,0000003979,Troubleyn en Jan Fabre,Laboratorium,"Feest, Repetitie",50,50,548
492165.633097817,6667116.327512,100833,0000004337,Uilenspiegel vzw,Zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",49,49,549
491825.807816383,6661865.52610463,100834,0000023311,House of Innovation,Treehouse,"Feest, Hobby, Vergader, Vergader1",8,8,550
491825.807816383,6661865.52610463,100835,0000023311,House of Innovation,Playground,"Feest, Hobby, Vergader, Vergader1",25,25,551
491825.807816383,6661865.52610463,100836,0000023311,House of Innovation,Jungle Room,"Feest, Hobby, Vergader, Vergader1",12,12,552
491825.807816383,6661865.52610463,100837,0000023311,House of Innovation,Living + Playground,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",50,100,553
497384.586527021,6661475.76723403,100838,0000000089,Deurne Podium,Cafetaria,"Feest, Hobby, Repetitie, Vergader, Vergader1",50,100,554
497384.586527021,6661475.76723403,100839,0000000089,Deurne Podium,Exporuimte,"Feest, Hobby, Repetitie, Vergader, Vergader1",75,100,555
497384.586527021,6661475.76723403,100840,0000000089,Deurne Podium,Combinatie podiumzaal + exporuimte,"Feest, Hobby, Repetitie, Vergader1",600,,556
496983.241488791,6658515.88115807,100841,0000008205,Dansen Roels,Grote zaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",600,700,557
496983.241488791,6658515.88115807,100842,0000008205,Dansen Roels,Spiegelzaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",180,250,558
494582.521625278,6665302.71794616,100843,0000023092,NMKT,NMKT - Bar,"Feest, Hobby, Vergader, Vergader1",30,30,559
494582.521625278,6665302.71794616,100844,0000023092,NMKT,NMKT - Theaterzaal,"Feest, Hobby, Repetitie, Vergader1",85,85,560
494582.521625278,6665302.71794616,100845,0000023092,NMKT,NMKT - Repetitielokaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",40,40,561
493744.155776489,6654667.13970227,100846,0000007860,De Verrezen Heer,Paviljoen gelijkvloers,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",60,80,562
493744.155776489,6654667.13970227,100847,0000007860,De Verrezen Heer,Ontmoetingsruimte gelijkvloers,"Feest, Hobby, Religiebeleving, Vergader",,200,563
