X,Y,OBJECTID,Straatnaam,Huisnummer,District,Postcode,Type,Start_Date,End_Date,GISID,Exploitant,AC_DC,Publiek,Autodelen,Taxi,Onst_Offst,NAAM,Opmerking
496536.709027406,6660099.2471468,210520,Maurice Dequeeckerplein ,1,Deurne,2100,,27/12/2018,,OPLAADPT_8166,Blue Corner,AC,,,,straatparkeren,Maurice Dequeeckerplein  1,
490651.601725803,6658407.0451804,210521,Mechelsesteenweg ,60,Antwerpen,2018,,13/10/2017,,OPLAADPT_8167,Blue Corner,AC,,,,straatparkeren,Mechelsesteenweg  60,
490651.601725803,6658407.0451804,210522,Mechelsesteenweg ,60,Antwerpen,2018,,13/10/2017,,OPLAADPT_8168,Blue Corner,DC,,,,straatparkeren,Mechelsesteenweg  60,
492268.959970764,6659082.80502966,210523,Mediaplein ,7,Antwerpen,2018,,,,OPLAADPT_8169,Blue Corner,DC,,,,straatparkeren,Mediaplein  7,
491050.736973187,6662208.92574016,210524,Napelsstraat ,114,Antwerpen,2000,,,,OPLAADPT_8170,Blue Corner,DC,,,,straatparkeren,Napelsstraat  114,
491045.282386881,6662730.25308949,210525,Napelsstraat ,25,Antwerpen,2000,,22/01/2019,,OPLAADPT_8171,Blue Corner,AC,,,,straatparkeren,Napelsstraat  25,
492045.046653245,6657908.62479268,210526,Nerviërsstraat ,2,Antwerpen,2018,,12/10/2017,,OPLAADPT_8172,Blue Corner,AC,,,,straatparkeren,Nerviërsstraat  2,
493067.883402174,6662906.23764946,210527,Noordschippersdok ,21,Antwerpen,2060,,20/06/2018,,OPLAADPT_8173,Blue Corner,AC,,,,straatparkeren,Noordschippersdok  21,
488164.605859459,6653154.45597634,210528,Orchideeënstraat ,6,Wilrijk,2610,,13/06/2019,,OPLAADPT_8174,Blue Corner,AC,,,,straatparkeren,Orchideeënstraat  6,
490647.862422547,6661580.29242656,210529,Oudeleeuwenrui ,29,Antwerpen,2000,,23/11/2018,,OPLAADPT_8175,Blue Corner,AC,,,,straatparkeren,Oudeleeuwenrui  29,
491156.088284533,6661168.90499439,210530,Paardenmarkt ,76,Antwerpen,2000,,8/04/2020,,OPLAADPT_8176,Blue Corner,AC,,,,straatparkeren,Paardenmarkt  76,
488349.472596572,6663024.04963647,210531,Parking Gloriantlaan - Kastanjedreef,,Antwerpen,2050,,8/02/2019,,OPLAADPT_8177,Blue Corner,AC,,,,straatparkeren,Parking Gloriantlaan - Kastanjedreef ,
488611.482256685,6656811.10587134,210532,Parking Konijnenwei,,Antwerpen,2018,,14/03/2018,,OPLAADPT_8178,Blue Corner,AC,,,,straatparkeren,Parking Konijnenwei ,
