X,Y,OBJECTID,Straatnaam,Huisnummer,District,Postcode,Type,Start_Date,End_Date,GISID,Exploitant,AC_DC,Publiek,Autodelen,Taxi,Onst_Offst,NAAM,Opmerking
488304.387596895,6658080.83520327,210707,"Waalsekaai, zone Steendok",,Antwerpen,2000,,,,OPLAADPT_9187,,AC,,,,parking,"Waalsekaai, zone Steendok ",Parking Steendok
488304.387596895,6658080.83520327,210708,"Waalsekaai, zone Steendok",,Antwerpen,2000,,,,OPLAADPT_9188,,AC,,,,parking,"Waalsekaai, zone Steendok ",Parking Steendok
488304.387596895,6658080.83520327,210709,"Waalsekaai, zone Steendok",,Antwerpen,2000,,,,OPLAADPT_9189,,AC,,,,parking,"Waalsekaai, zone Steendok ",Parking Steendok
489563.51616922,6660685.21225268,210710,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_6293,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
489563.51616922,6660685.21225268,210711,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_6294,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
489563.51616922,6660685.21225268,210712,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_6295,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
489563.51616922,6660685.21225268,210713,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_8985,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
489563.51616922,6660685.21225268,210714,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_8986,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
489563.51616922,6660685.21225268,210715,Ernest Van Dijckkaai,3,Antwerpen,2000,,,,OPLAADPT_8987,,AC,,,,parking,Ernest Van Dijckkaai 3,Parking Grote Markt
490398.72028925,6660233.56422425,210716,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8988,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210717,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8989,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210718,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8990,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210719,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8991,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210720,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8992,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210721,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8993,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210722,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8994,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210723,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8995,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210724,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8996,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
490398.72028925,6660233.56422425,210725,Sint-Katelijnevest,55,Antwerpen ,2000,,,,OPLAADPT_8997,,AC,,,,parking,Sint-Katelijnevest 55,Parking Handelsbeurs
489888.24421917,6661352.18969244,210726,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6341,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
489888.24421917,6661352.18969244,210727,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6343,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
489888.24421917,6661352.18969244,210728,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6344,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
489888.24421917,6661352.18969244,210729,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6345,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
